data_source,nid,file_path,Country,type_of_additional,Group,Site,Year,Prev,N
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Chewaka HC,2005,1.2,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Chiri HC,2005,1.8,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,1,,Dadim Clinic,2005,1.2,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Debate HC,2005,5,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Gazer HC,2005,1.7,500
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,TOTAL,Hasange HC,2005,0,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Kokosa HC,2005,0.5,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Menge HC,2005,0.9,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Mesela HC,2005,0.6,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,TOTAL,Pynido HC,2005,2.8,300
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,5,Urban,Shashemene,2005,7,296
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Sheko HC,2005,2.5,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Teza HC,2005,1.5,400
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,FCT Total,Abuja (Gwagwalada),2003,5.8,310
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,FCT Total,Abuja (Nyanya),2003,9.2,315
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Akwa-Ibom (Uyo),2003,6.4,299
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Anambra (Awka),2003,4.3,300
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Anambra (Ekwulobia),2003,2.9,274
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Anambra (Onitsha),2003,4,300
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Bauchi (Azare),2003,5.7,299
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Borno (Biu),2003,2.7,295
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Borno (Maiduguri),2003,3.7,297
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Ebonyi (Abakaliki),2003,4.6,324
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Enugu (Achi),2003,11.9,227
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Enugu (Nsukka),2003,2.4,295
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Gombe (Gombe),2003,7.3,299
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Imo (Orlu/Amaifeke),2003,4.2,309
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Imo (Owerri),2003,2,303
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Kaduna (Zaria),2003,2.1,289
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Katsina (Katsina),2003,3.4,298
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Kogi (Ankpa),2003,4.4,298
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Lagos  (Badagry),2003,6.3,350
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,4,Remaining Pop,Lagos (Epe),2003,4.2,330
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Lagos (Ikeja),2003,7.7,350
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Lagos (Island),2003,1.7,301
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Mubi,2003,7.7,299
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Nasarawa (Lafia),2003,8.9,350
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Niger (Minna),2003,6.4,289
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Sokoto (Dogon Daji),2003,1.3,298
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Taraba (Jalingo),2003,6.3,319
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Taraba (Zing),2003,5.8,310
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Yobe(Potiskum),2003,1.7,300
report,152886,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2003\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2003_REP_Y2012M10D02.PDF,NGA,3,Remaining Pop,Yola,2003,7.4,350
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,4,Remaining Pop,Abia (Umuahia),2008,5.8,299
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,4,FCT Total,Abuja (Garki/Wuse),2005,1.5,300
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,4,FCT Total,Abuja (Garki/Wuse),2008,11,301
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Edo (Benin City),2008,5.4,300
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Edo (Benin City),2010,7.5,307
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,35,Remaining Pop,Edo (Ekpoma),2003,4.7,258
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Edo (Ekpoma),2008,6.7,300
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Edo (Ekpoma),2010,5.6,304
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,4,Remaining Pop,Kano (AKTH),2005,4.3,300
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,5,Remaining Pop,Kano (AKTH),2010,11.2,304
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,34,Remaining Pop,Kano (Rano),2010,0,303
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,4,Remaining Pop,Nasarawa (Lafia),2005,9.2,300
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,4,Remaining Pop,Nasarawa(N/Eggon),2005,4.3,305
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,5,Remaining Pop,Ondo (Ondo),2003,2.3,300
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,5,Remaining Pop,Sokoto (Sokoto),2005,2.7,300
report,152887,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2010\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2010_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Yobe(Potiskum),2010,1.3,300
report,157132,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2007_REP_Y2014M06D03.PDF,MWI,2,Southern Region,Mianga HC,2007,26.7,300
report,157132,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2007_REP_Y2014M06D03.PDF,MWI,2,Central Region,Nkhotakota,2007,20.4,499
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Southern Region,Blantyre,1985,2.5,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Southern Region,Blantyre,1987,8.2,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Southern Region,Blantyre,1989,18.6,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Southern Region,Blantyre,1990,21.9,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Southern Region,Blantyre,1991,26,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Southern Region,Blantyre,1992,27.1,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Southern Region,Blantyre,1993,30,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,5,Southern Region,Blantyre,1994,31.6,250
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,5,Southern Region,Blantyre,1995,33,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,5,Southern Region,Blantyre,1997,30.3,617
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,4,Southern Region,Blantyre,1998,30.4,677
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Northern Region,Kapolo HC,2003,20.5,210
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Central Region,Lilongwe,1994,16.5,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,4,Central Region,Lilongwe,1995,22.5,400
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,4,Central Region,Lilongwe,1998,26,800
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,,HR Limbé,2003,27.6,804
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Northern Region,Mbalachanda HC,1992,11.6,100
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,2,Northern Region,Mbalachanda HC,1993,7.8,100
report,157140,J:\DATA\MWI\HIV_SYPHILIS_SERO_SURVEY\MWI_HIV_SYPHILIS_SERO_SURVEY_2003_REP_Y2014M07D18.PDF,MWI,4,Northern Region,Mbalachanda HC,1995,7.3,124
